Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0137-AGO,2005,0137,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Kuanza Norte, Uige, Zaire, Malanje, Bengo, Huambo, Benguela, Bie, Cuando Cubango provinces",Heavy rains,,,,,,,118200,Km2,,,,"Kapacala, Cuanza, Okavango rivers",2005,1,27,2005,3,28,,,,10000,10000,,,,,,,72.07141045,1,398;399;400;402;405;407;411;414;415,,"Bengo, Benguela, Bie, Cuando Cubango, Huambo, Kuanza Norte, Malanje, Uige, Zaire (Adm1)."
2005-0072-AGO,2005,0072,,Technological,Technological,Transport accident,Road,,,Angola,AGO,Middle Africa,Africa,Lubango (Huila province),,,,,No,No,,,,,,,,2005,2,8,2005,2,8,20,70,,,70,,,,,,,72.07141045,,,,
2005-0160-IDN,2005,0160,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Simeulue, Aceh Singkil districts (Nangroe Aceh Darussalam province) Nias, Nias Selatan districts (Sumatera Utara province)",,Tsunami/Tidal wave,,Yes,,,3629,9,Richter,2.085,97.108,23:09,,2005,3,28,2005,3,28,915,1146,104167,,105313,,,,,,,72.07141045,2,,73627;73811;73812;73850,"Aceh Singkil, Nias, Nias Selatan, Simeulue (Adm2)."
2005-0031-IDN,2005,0031,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Palu district (Sulawesi Tengah province),,,,,,,,6,Richter,-1.198,119.933,04:11,,2005,1,23,2005,1,23,1,4,680,,684,,,,,,,72.07141045,2,,73741,Kota Palu (Adm2).
2005-0089-IDN,2005,0089,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Bandung district (Jawa Barat province),,,,,,,,,,,,,,2005,2,21,2005,2,21,143,,,,,,,,,5000,6938,72.07141045,2,,73636,Bandung (Adm2).
2005-0091-IDN,2005,0091,,Technological,Technological,Transport accident,Air,,Casa 212,Indonesia,IDN,South-Eastern Asia,Asia,Sarmi district,,,,,No,No,,,,,,,,2005,3,22,2005,3,22,15,3,,,3,,,,,,,72.07141045,,,,
2005-0111-IDN,2005,0111,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Kuala Kampar (Sumatra Isl.),,,,,No,No,,,,,,,,2005,3,13,2005,3,13,33,,,,,,,,,,,72.07141045,,,,
2005-0103-USA,2005,0103,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,Los Angeles district (California province),Heavy rains,"Slide (land, mud, snow, rock)",Rain,,,,,,Km2,,,,,2005,2,17,2005,2,23,9,,150,,150,,,200000,277503,250000,346878,72.07141045,2,,28883,Los Angeles (Adm2).
2005-0015-USA,2005,0015,,Natural,Hydrological,Flood,Riverine flood,,,United States of America (the),USA,Northern America,Americas,"La Conchita area (Ventura district, California province), Malibu area (Los Angeles district, California province), Sacramento district (California province), Arizona, Ohio provinces","Heavy rain, heavy snow","Slide (land, mud, snow, rock)",,,,Yes,,560,Km2,,,,"Venturea, Ohio rivers",2005,1,7,2005,1,11,28,8,500,,508,,,200000,277503,200000,277503,72.07141045,1;2,3216;3249,28883;28898;28920,"Arizona, Ohio (Adm1). Los Angeles, Sacramento, Ventura (Adm2)."
2005-0029-USA,2005,0029,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces",,Cold wave,,,,,,,Kph,,,,,2005,1,22,2005,1,24,20,,,,,,,200000,277503,350000,485629,72.07141045,1,3220;3229;3234;3235;3246;3249;3263,,"Connecticut, Iowa, Maryland, Massachusetts, New York, Ohio, Wisconsin (Adm1)."
2005-0009-USA,2005,0009,,Technological,Technological,Transport accident,Rail,,,United States of America (the),USA,Northern America,Americas,Aiken county (South Carolina),,Gaz leak,,,No,No,,,,,,,,2005,1,7,2005,1,7,9,200,750,,950,,,,,,,72.07141045,,,,
2005-0006-MEX,2005,0006,,Technological,Technological,Transport accident,Road,,,Mexico,MEX,Central America,Americas,Between Tijuana and Mexico,,,,,No,No,,,,,,,,2005,1,5,2005,1,5,12,13,,,13,,,,,,,72.07141045,,,,
2005-0027-THA,2005,0027,,Technological,Technological,Transport accident,Water,,Sea Breeze,Thailand,THA,South-Eastern Asia,Asia,Near Koh Samui Isl.,Overloading,,,,No,No,,,,,,,,2005,1,25,2005,1,25,17,,,,,,,,,,,72.07141045,,,,
2005-0024-THA,2005,0024,,Technological,Technological,Transport accident,Rail,,,Thailand,THA,South-Eastern Asia,Asia,Bangkok,,,,,No,No,,,,,,,,2005,1,17,2005,1,17,,200,,,200,,,,,,,72.07141045,,,,
2005-0052-USA,2005,0052,,Technological,Technological,Transport accident,Rail,,,United States of America (the),USA,Northern America,Americas,Los Angeles,Suicide,,,,No,No,,,,,,,,2005,1,26,2005,1,26,11,180,,,180,,,,,,,72.07141045,,,,
2005-0148-USA,2005,0148,,Technological,Technological,Industrial accident,Explosion,,Raffinerie BP,United States of America (the),USA,Northern America,Americas,Houston (Texas),,,,,No,No,,,m3,,,,,2005,3,23,2005,3,23,15,170,,,170,,,,,,,72.07141045,,,,
2005-0132-ZAF,2005,0132,,Natural,Geophysical,Earthquake,Ground movement,,,South Africa,ZAF,Southern Africa,Africa,"Klerksdorp, Stilfontein villages (Dr Kenneth Kaunda District Municipality district, North West province)",,,,,,,,5,Richter,-26.913,26.789,12:15,,2005,3,9,2005,3,9,2,58,,,58,,,10000,13875,20000,27750,72.07141045,2,,77350,Dr Kenneth Kaunda District Municipality (Adm2).
2005-0159-ZAF,2005,0159,,Technological,Technological,Transport accident,Road,,,South Africa,ZAF,Southern Africa,Africa,Near Hlabisa,,,,,No,No,,,,,,,,2005,3,25,2005,3,25,10,69,,,69,,,,,,,72.07141045,,,,
2005-0223-IDN,2005,0223,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Jongar, Lawe Mengkudu, Lawe Penanggalan, Jambur Lak Lak, Badar villages (Aceh Tenggara district, Nangroe Aceh Darussalam province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,1730,Km2,,,,Lawe Alas river,2005,4,26,2005,4,27,47,18,750,,768,,,,,,,72.07141045,2,,73630,Aceh Tenggara (Adm2).
2005-0589-IDN,2005,0589,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lawe Beringan, Semadam Awal villages (Semadam area, Aceh Tenggara district, Nangroe Aceh Darussalam province), Tirtoyudo, Sumbermanjing Wetan, Dampit, Ampilgading villages (Malang district, Jawa Timur province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,2460,Km2,,,,Simpang,2005,10,18,2005,10,19,28,211,12000,,12211,,,,,,,72.07141045,2,,73630;73780,"Aceh Tenggara, Malang (Adm2)."
2005-0718-IDN,2005,0718,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Panti, Tanggul, Arjasa, Rambipuji, Kaliwates, Wuluhan, Patrang, Balung, Puger areas (Jember district, Jawa Timur province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,322,,Km2,,,,Kaliputih,2005,12,31,2006,1,3,79,30,7781,,7811,,,,,,,72.07141045,2,,18070,Jember (Adm2).
2005-0591-CAN,2005,0591,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Stephenville & Kippens towns (Division No. 4 district, Newfoundland and Labrador province), Reidville town (Division No. 5 district, Newfoundland and Labrador province)",Heavy rains,,,,,Yes,,330,Km2,,,,Blanche Brook,2005,9,27,2005,9,29,,,600,,600,,,,,,,72.07141045,2,,12611;12612,"Division No. 4, Division No. 5 (Adm2)."
2005-0728-CAN,2005,0728,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Black Diamond, High River, Otokoks, Turner Valley towns (Division No. 6 district, Alberta province), Pincher Creek city (Division No. 3 district, Alberta province), Lethbridge city (Division No. 2 district, Alberta province), Siksika Reserve, Drumheller cities (Division No. 5 district, Alberta province), Red Deer city (Division No. 8 district, Alberta province)",Heavy rains,,,,,,,86680,Km2,,,,"Elbow, High, Bow, Highwood, Sheep, Oldman, Willow Creek, Red Deer, Fish Creek, Priddis Creek",2005,6,7,2005,7,1,4,,5000,,5000,,,186000,258077,357000,495342,72.07141045,2,,12521;12522;12524;12525;12527,"Division No. 2, Division No. 3, Division No. 5, Division No. 6, Division No. 8 (Adm2)."
2005-0383-CAN,2005,0383,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Qu�bec province,,,,,,,,4000,Km2,,,,,2005,7,,2005,7,,,,,,,,,,,,,72.07141045,1,835,,Quebec / Qu�bec (Adm1).
2005-0460-CAN,2005,0460,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Ontario province,Dry wetaher and heat wave,,,,,,,275,Km2,,,,,2005,8,,2005,8,,,,,,,,,,,,,72.07141045,1,833,,Ontario (Adm1).
2005-0764-CAN,2005,0764,,Technological,Technological,Miscellaneous accident,Other,,Food poisoning,Canada,CAN,Northern America,Americas,Ontario,,,,,No,No,,,,,,,,2005,11,30,2005,12,1,,506,,,506,,,,,,,72.07141045,,,,
2005-0780-CAN,2005,0780,,Technological,Technological,Miscellaneous accident,Other,,Poisoning,Canada,CAN,Northern America,Americas,Burlington,,,,,No,No,,,,,,,,2005,5,8,2005,5,8,,155,,,155,,,,,,,72.07141045,,,,
2005-0553-CAN,2005,0553,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,"Montreal, Acton, Beauharnois-Salaberry, Brome-Missisquoi, La Haute-Yamaska, Marguerite-D'Youville, La Vall�e-du-Richelieu, Pierre-De Saurel, Le Haut-Richelieu, Le Haut-Saint-Laurent, Les Jardins-de-Napierville, Les Maskoutains, Roussillon, Rouville, Vaudreuil-Soulanges, Longueuil, Coaticook, Le Granit, Le Haut-Saint-Francois, Les Sources, Le Val-Saint-Fran�ois, Memphr�magog, Sherbrooke districts",,,,,,,,,Kph,,,,,2005,9,26,2005,9,29,,,300,,300,,,,,,,72.07141045,2,,12695;12699;12703;12706;12707;12710;12713;12730;12735;12738;12740;12742;12746;12747;12748;12749;12752;12757;12759;12770;12783;12784;12792,"Acton, Beauharnois-Salaberry, Brome-Missisquoi, Coaticook, La Haute-Yamaska, La Vall�e-du-Richelieu, Le Granit, Le Haut-Richelieu, Le Haut-Saint-Francois, Le Haut-Saint-Laurent, Le Val-Saint-Francois, Les Jardins-de-Napierville, Les Maskoutains, Les Sources, Longueuil, Marguerite-D'Youville, Memphremagog, Montreal, Pierre-De Saurel, Roussillon, Rouville, Sherbrooke, Vaudreuil-Soulanges (Adm2)."
2005-0202-IDN,2005,0202,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Talang,Indonesia,IDN,South-Eastern Asia,Asia,Solok district (Sumatera Barat province),,,,,,,,,,,,,,2005,4,12,2005,4,12,,,26000,,26000,,,,,,,72.07141045,2,,73853,Solok (Adm2).
2005-0487-IDN,2005,0487,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Padang district (Sumatera Barat province),Heavy rains,,,,,,,,,,,,,2005,9,2,2005,9,2,25,10,,,10,,,,,,,72.07141045,2,,18204,Kota Padang (Adm2).
2005-0430-IDN,2005,0430,,Natural,Climatological,Wildfire,Forest fire,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sintang, Sanggau, Ketapang districts (Kalimatan Barat province), Kotawaringin Timur, Katingan, Seruyan, Kapuas (Kalimantan Tengah province), Kota Baru, Tapin, Hulusungai Selatan, Banjar, Tanahlaut (Kalimantan Selatan province) (Sumatra Isl.)",,,,,,,,,Km2,,,,,2005,8,9,2005,8,9,,,,,,,,,,,,72.07141045,2,,18102;18108;18110;18114;18116;18117;73689;73691;73763;73839;73848;73851,"Banjar, Hulusungai Selatan, Kapuas, Katingan, Ketapang, Kota Baru, Kotawaringin Timur, Sanggau, Seruyan, Sintang, Tanahlaut, Tapin (Adm2)."
2005-0374-IDN,2005,0374,,Natural,Biological,Epidemic,Viral disease,,Poliomyelitis,Indonesia,IDN,South-Eastern Asia,Asia,"Banten, Lampung (West, east and Central Java), DKI Jakarta, Sumatra (North and South), Aceh (NAD), Riau, Madura Isl., Probolinggo district",,,,,No,No,,78000,Vaccinated,,,,,2005,6,,2006,1,31,,,329,,329,,,,,,,72.07141045,,,,
2005-0495-IDN,2005,0495,,Technological,Technological,Transport accident,Air,,Boeing 737-200,Indonesia,IDN,South-Eastern Asia,Asia,Medan (Sumatra),,,,,No,No,,,,,,,,2005,9,5,2005,9,5,150,,14,,14,,,,,,,72.07141045,,,,
2005-0353-IDN,2005,0353,,Technological,Technological,Transport accident,Water,,"Ferry ""Digul""",Indonesia,IDN,South-Eastern Asia,Asia,Arafura sea (Papua province),,,,,No,No,,,,,,,,2005,7,7,2005,7,7,200,,,,,,,,,,,72.07141045,,,,
2005-0549-IDN,2005,0549,,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Sulawesi Isl.,,,,,No,No,,,,,,,,2005,9,24,2005,9,24,18,,34,,34,,,,,,,72.07141045,,,,
2005-0788-IDN,2005,0788,,Technological,Technological,Transport accident,Rail,,,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,,No,No,,,,,,,,2005,6,30,2005,6,30,2,125,,,125,,,,,,,72.07141045,,,,
2006-0680-IDN,2006,0680,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Aceh Barat, Aceh Tamiang, Aceh Timur, Aceh Utara, Bener Meriah, Bireuen, Gayolues, Kota Lhokseumawe districts (Nangroe Aceh Darussalam province), Langkat, Mandailingnatal, Tapanuli Selatan districts (Sumatera Utara province), Rokanhilir, Indragiri Hulu districts (Riau province)",Monsoonal rain,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",Yes,,,4984,,Km2,,,,,2006,12,22,2007,1,4,236,,618486,,618486,,,,,,,74.39638749,2,,18234;73624;73628;73631;73632;73650;73657;73674;73684;73733;73787;73835;73864,"Aceh Barat, Aceh Tamiang, Aceh Timur, Aceh Utara, Bener Meriah, Bireuen, Gayolues, Indragiri Hulu, Kota Lhokseumawe, Langkat, Mandailingnatal, Rokanhilir, Tapanuli Selatan (Adm2)."
2006-0678-IDN,2006,0678,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Muara Sipongi area (Mandailingnatal district, Sumatera Utara province)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,0.626,99.859,04:39,,2006,12,17,2006,12,17,8,200,1000,,1200,,,,,,,74.39638749,2,,73787,Mandailingnatal (Adm2).
2006-0099-IDN,2006,0099,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Minahasa districts (Sulawesi Utara province)",Monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,33830,Km2,1.07,124.66,,Rano Wangko,2006,2,13,2006,2,23,39,39,17500,,17539,,,,,25000,33604,74.39638749,2,,18200;73800,"Kota Manado, Minahasa (Adm2)."
2006-0311-IDN,2006,0311,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sinjai, Jeneponto, Bulukumba, Bantaeng, Luwu Utara, Bone, Gowa, Sidenrengrappang, Selayar, Wajo, Soppeng (Sulawesi Selatan province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,144,3100,Km2,-5.17,120.11,,,2006,6,19,2006,6,23,236,56,28505,670,29231,,,,,55200,74197,74.39638749,2,,18167;18169;18170;18172;18173;18182;18183;18184;18185;18188;73778,"Bantaeng, Bone, Bulukumba, Gowa, Jeneponto, Luwu Utara, Selayar, Sidenrengrappang, Sinjai, Soppeng, Wajo (Adm2)."
2006-0332-IDN,2006,0332,,Natural,Hydrological,Flood,Flash flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tanahlaut, Kota Baru, Tanahbumbu districts (Kalimantan Selatan province)",Torrential rain,"Slide (land, mud, snow, rock)",,,,,,23710,Km2,-3.29,115.49,,"Limpur, Martapura, Riam Kiwa rivers",2006,6,25,2006,6,29,52,,18250,,18250,,,,,,,74.39638749,2,,18114;18116;73860,"Kota Baru, Tanahbumbu, Tanahlaut (Adm2)."
2006-0074-IDN,2006,0074,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lasem, Pamotan, Sedan areas (Rembang district, Jawa Tengah province), Demak, Kota Semarang, Semarang districts (Jawa Tengah province), Indramayu district (Jawa Barat province), Dki Jakarta province",Mosnoonal rain,"Slide (land, mud, snow, rock)",,,,,,73070,Km2,-6.85,108.59,,"Karanggeneng, Beringin, Cimanuk, Cilalanang, Cipanas, Cipunegara",2006,1,26,2006,2,14,19,,10000,,10000,,,,,27100,36426,74.39638749,1;2,1516,18013;18037;18046;18056;18057,"Dki Jakarta (Adm1). Demak, Indramayu, Kota Semarang, Rembang, Semarang (Adm2)."
2006-0192-IDN,2006,0192,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bendungan, Trenggalek, Ogalan, Karangan, Tugu, Durenan, Gandu Sari areas (Trenggalek district, Jawa Timur province), Ponorogo district (Jawa Timur province), Karanganyar district (Jawa Tengah province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,19040,Km2,-7.84,111.86,,Ngasinan,2006,4,19,2006,4,23,22,2,400,,402,,,,,,,74.39638749,2,,18040;18092;18098,"Karanganyar, Ponorogo, Trenggalek (Adm2)."
2006-0328-IDN,2006,0328,,Natural,Hydrological,Flood,,,,Indonesia,IDN,South-Eastern Asia,Asia,Kota Baru district (Kalimantan Selatan province),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2006,6,24,2006,6,26,41,,,,,,,,,,,74.39638749,2,,18114,Kota Baru (Adm2).
2006-0231-IDN,2006,0231,,Natural,Geophysical,Earthquake,Tsunami,,,Indonesia,IDN,South-Eastern Asia,Asia,"Pela, Batu Junku, Waimarot, Wailawa, Waimoly villages (Bata Bual sub-district,Buru district, Maluku Utara province)",,Tsunami/Tidal wave,,,,,,7,Richter,-3.595,127.214,,,2006,3,14,2006,3,14,3,2,1200,,1202,,,,,,,74.39638749,2,,73665,Buru (Adm2).
2006-0224-CAN,2006,0224,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Fort Albany city (Cochrane district, Ontario province)",Snowmelt,Broken Dam/Burst bank,,,,,,7030,Km2,52.53,-82.09,,,2006,4,22,2006,5,31,,,2000,,2000,,,,,,,74.39638749,2,,12645,Cochrane (Adm2).
2006-0023-AGO,2006,0023,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Huila, Benguela provinces",Heavy rains,,,,,,,,Km2,,,,,2006,1,,2006,1,,,,,225,225,,,,,,,74.39638749,1,399;406,,"Benguela, Huila (Adm1)."
2006-0187-AGO,2006,0187,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Angola,AGO,Middle Africa,Africa,"Luanda, Bengo, Kwanza Norte, Benguela , Huambo, Malanje, Namibe, Bie, Huila, Kwanza Sul, Uige, Zaire, Lunda-Norte, Cabinda, Namibe, Kuando Kubango provinces",,,,Yes,,,,,Vaccinated,,,,,2006,2,13,2007,2,8,2354,,57570,,57570,,,,,,,74.39638749,,,,
2006-0636-AGO,2006,0636,,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Angola,AGO,Middle Africa,Africa,"Huila, Uige provinces",,,,,No,No,,,Vaccinated,,,,,2006,10,24,2006,11,,68,,,,,,,,,,,74.39638749,,,,
2006-0121-AGO,2006,0121,,Technological,Technological,Transport accident,Air,,Helicopter MI-17,Angola,AGO,Middle Africa,Africa,Near Barra do Dande,,,,,No,No,,,,,,,,2006,2,25,2006,2,25,18,12,,,12,,,,,,,74.39638749,,,,
2006-0203-CAN,2006,0203,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Baie Verte, Middle Arm, Smith's Harbour, Burlington cities (Division No.8 district, Newfoundland and Labrador province)",Heavy rain,,,,,Yes,,730,Km2,49.72,-56.05,,,2006,4,18,2006,4,24,,,200,,200,,,,,,,74.39638749,2,,12615,Division No. 8 (Adm2).
2006-0206-CAN,2006,0206,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Red Earth First Nation, Porcupine Plain cities (Division No.14 district, Saskatchewan province), Fishing Lake (Division No.10 district, Saskatchewan province)",Heavy rain,,,,,,,63270,Km2,53.54,-99.99,,"Carrot, Red Deer, Shand Creek, Saskatchewan",2006,4,12,2006,4,20,,,1000,,1000,,,,,,,74.39638749,2,,12802;12806,"Division No. 10, Division No. 14 (Adm2)."
2006-0261-CAN,2006,0261,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Aklavik city (Region 1 district, Northwest Territories province)",Snowmelt,,,,,,,3210,Km2,67.93,-99.99,,Mackenzie,2006,5,26,2006,6,2,,,300,,300,,,,,,,74.39638749,2,,190730,Region 1 (Adm2).
2006-0269-CAN,2006,0269,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Grand Forks city (Kootenay Boundary district, British Columbia province), Nelson city (Central Kootenay district, British Columbia province), Penticton city (Okanagan-Similkameen district, British Columbia province)",Rains and snowmelt,,,,,,,,Km2,50.13,-99.99,,"Kettle, Ellis Creek, Slocan, Granby",2006,5,20,2006,5,28,1,,400,,400,,,,,,,74.39638749,2,,12544;12554;12559,"Central Kootenay, Kootenay Boundary, Okanagan-Similkameen (Adm2)."
2006-0279-IDN,2006,0279,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Kulonprogo, Sleman, Kota Yogyakarta, Gunungkidul, Bantul districts (Daerah Istimewa Yogyakarta province), Purworejo, Kota Klaten, Magelang, Klaten, Boyolali districts (Jawa Tengah province)",,,,Yes,,,88051,6,Richter,-7.961,110.446,05:53,,2006,5,26,2006,5,26,5778,137883,2340745,699295,3177923,,,40000,53766,3100000,4166869,74.39638749,2,,17981;17982;17983;17984;17985;18034;18042;18050;18055;73730,"Bantul, Boyolali, Gunungkidul, Klaten, Kota Klaten, Kota Yogyakarta, Kulonprogo, Magelang, Purworejo, Sleman (Adm2)."
2006-0705-IDN,2006,0705,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Bima district (Nusatenggara Barat province),,,,,,,,6,Richter,-8.261,118.753,,,2006,12,1,2006,12,1,1,14,,100,114,,,,,,,74.39638749,2,,73656,Bima (Adm2).
2006-0372-IDN,2006,0372,,Natural,Geophysical,Earthquake,Tsunami,,,Indonesia,IDN,South-Eastern Asia,Asia,"Tasikmalaya, Kota Tasikmalaya, Ciamis, Sukabumi, kota Sukabumi, Garut districts (Jawa Barat province), Cilacap, Kebumen, Banyumas districts (Jawa Tengah province), Gunungkidul, Bantul district (Daerah Istimewa Yogyakarta province)",Earthquake,,,Yes,,,3817,8,Richter,-9.284,107.419,,,2006,7,17,2006,7,17,802,543,35000,,35543,,,1000,1344,55000,73928,74.39638749,2,,17981;17982;18012;18018;18026;18031;18036;18041;73667;73756;73867,"Bantul, Banyumas, Ciamis, Cilacap, Garut, Gunungkidul, Kebumen, Kota Sukabumi, Kota Tasikmalaya, Sukabumi, Tasikmalaya (Adm2)."
2006-0196-IDN,2006,0196,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,"Boyolali, Magelang, Kota Magelang, Kota Klaten, Klaten districts (Jawa Tengah province), Sleman district (Daerah Istimewa Yogyakarta province)",,,,,,,100,,,,,,,2006,4,18,2006,5,15,,,11000,,11000,,,,,,,74.39638749,2,,17985;18034;18042;18043;18050;73730,"Boyolali, Klaten, Kota Klaten, Kota Magelang, Magelang, Sleman (Adm2)."
2006-0343-IDN,2006,0343,,Natural,Hydrological,Flood,Riverine flood,,,Indonesia,IDN,South-Eastern Asia,Asia,"Bolaangmongondow district (Sulawesi Utara province), Kota Gorontalo, Bonebolango, Gorontalo districts (Gorontalo province)",Heavy rains,,,,,,,890,Km2,0.55,123.01,,"Pilolenga, Bone, Bolango",2006,6,23,2006,6,27,,,5000,,5000,,,,,,,74.39638749,2,,18197;18199;73660;73675,"Bolaangmongondow, Bonebolango, Gorontalo, Kota Gorontalo (Adm2)."
2006-0007-IDN,2006,0007,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,"Sijeruk village (Banjarnegara district, Jawa Tengah province)",Heavy rains,,,,,,,,,-8.02,113.34,,,2006,1,1,2006,1,4,156,13,,8300,8313,,,,,27000,36292,74.39638749,2,,18030,Banjarnegara (Adm2).
2006-0069-IDN,2006,0069,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lombok Barat, Lombok Tengah, Lombok Timur, Kota Mataram districts (Nusatenggara Barat province), Belu, Timor Tengah Selatan, Timor Tengah Utara, Kupang, Rotendao, Kota Kupang districts (Nusatenggara Timur province), Bali province",Heavy rains,,,,,,,,,-8.44,117.29,,,2006,1,22,2006,1,27,11,,3000,,3000,,,,,10943,14709,74.39638749,1;2,1513,18145;18146;18147;18150;18159;18160;73731;73736;73765;73837,"Bali (Adm1). Belu, Kota Kupang, Kota Mataram, Kupang, Lombok Barat, Lombok Tengah, Lombok Timur, Rotendao, Timor Tengah Selatan, Timor Tengah Utara (Adm2)."
2006-0668-IDN,2006,0668,,Natural,Hydrological,Landslide,Landslide,,,Indonesia,IDN,South-Eastern Asia,Asia,Solok district (Sumatera Barat province),Heavy rains,,,,,,,,,,,,,2006,12,15,2006,12,15,17,,,,,,,,,,,74.39638749,2,,73853,Solok (Adm2).
2006-0471-IDN,2006,0471,,Natural,Climatological,Wildfire,Forest fire,,,Indonesia,IDN,South-Eastern Asia,Asia,"Muarojambi, Tanjungjabung Timur districts (Jambi province), Ogan Komering Ilir, Banyuasin, Musibanyuasin districts (Sumatera Selatan province), Ketapang district (Kalimantan Barat province), Kotawaringin Timur, Kotawaringin Barat, Pulangpisau, Seruyan, Sukamara districts (Kalimantan Tengah province), Banjar, Hulusungai Selatan districts (Kalimantan Selatan province)",,,,,,,,,Km2,,,,,2006,8,,2006,8,,,200,,,200,,,,,14000,18818,74.39638749,2,,18102;18108;18110;73643;73762;73763;73803;73806;73815;73831;73848;73856;73863,"Banjar, Banyuasin, Hulusungai Selatan, Ketapang, Kotawaringin Barat, Kotawaringin Timur, Muarojambi, Musibanyuasin, Ogan Komering Ilir, Pulangpisau, Seruyan, Sukamara, Tanjungjabung Timur (Adm2)."
